cell,rho,alpha_b,seed,delta_ZY,N,pi_c,n_C1,crash_rate,tau_LATE_true,NDE_LATE,NIE_LATE,tau_IV_IPSW,SE_tau,CI_L,CI_U,bias,bias_pct,ci_covers_true,tau_IV_positive,FS,RF,reject_H0_tau0,degenerate
T2-c,0.5,3.972,456,0.05,1000000,0.33768,145632,0.145632,-0.018347424226282497,-0.06530633555192603,0.04695891132564351,0.13334767952973084,0.0030226656032934117,0.12742325494727574,0.13927210411218593,0.15169510375601333,826.7923708806583,0,1,0.3375101852600627,0.04500620002207893,1,0
T2-c,0.5,3.972,789,0.05,1000000,0.338303,145739,0.145739,-0.018271693602941504,-0.06520786585062725,0.04693617224768573,0.13120326098671303,0.0030271577012768746,0.12527003189221037,0.1371364900812157,0.14947495458965454,818.0684168521248,0,1,0.3363179597581233,0.0441260130486639,1,0
T2-c,0.5,3.972,2026,0.05,1000000,0.338434,146114,0.146114,-0.01824457864241312,-0.06515955558924999,0.046914976946836884,0.12863273081698337,0.00296081009476441,0.12282954303124513,0.1344359186027216,0.14687730945939648,805.0463227358467,0,1,0.3418878251542328,0.04397796458266831,1,0
T2-c,0.5,3.972,42,0.1,1000000,0.338525,145942,0.145942,-0.01829427067905143,-0.06524843603783635,0.0469541653587849,0.2777389460552953,0.0036112170446150815,0.2706609606478497,0.2848169314627409,0.29603321673434674,1618.174465262128,0,1,0.33720263370343656,0.09365430409186228,1,0
T2-c,0.5,3.972,123,0.1,1000000,0.337101,145989,0.145989,-0.01841825957615533,-0.06545860998161038,0.047040350405455025,0.28277050851955005,0.003613429448725707,0.27568818680004764,0.28985283023905245,0.3011887680957054,1635.272686055694,0,1,0.3379137874224933,0.09555205350522555,1,0
T2-c,0.5,3.972,456,0.1,1000000,0.33768,145632,0.145632,-0.018347424226282497,-0.06530633555192603,0.04695891132564351,0.2814913569167562,0.0036133061556736508,0.27440927685163585,0.28857343698187654,0.2998387811430387,1634.2282025262311,0,1,0.3375101852600627,0.09500620002208082,1,0
T2-c,0.5,3.972,789,0.1,1000000,0.338303,145739,0.145739,-0.018271693602941504,-0.06520786585062725,0.04693617224768573,0.2798720981667445,0.0036185887006893345,0.2727796643133934,0.28696453202009564,0.29814379176968603,1631.7249963171928,0,1,0.3363179597581233,0.09412601304866472,1,0
T2-c,0.5,3.972,2026,0.1,1000000,0.338434,146114,0.146114,-0.01824457864241312,-0.06515955558924999,0.046914976946836884,0.27487952968279145,0.0035223008035438486,0.2679758201078455,0.2817832392577374,0.2931241083252046,1606.6367662982352,0,1,0.3418878251542328,0.09397796458266795,1,0
T2-d,1.0,3.972,42,0.0,1000000,0.299842,146719,0.146719,-0.015385731628690981,-0.06088983967904454,0.04550410805035355,-0.016624119691205978,0.0032060793777575975,-0.02290803527161087,-0.010340204110801086,-0.0012383880625149966,8.0489384086596,1,0,0.29733954172163435,-0.004943008130508783,1,0
T2-d,1.0,3.972,123,0.0,1000000,0.298566,146625,0.146625,-0.015395586617180901,-0.06091256196652379,0.04551697534934288,-0.009957302832742692,0.0031449284299235815,-0.016121362555392912,-0.0037932431100924724,0.005438283784438209,35.32365423717786,1,0,0.30157177612351155,-0.0030028415006698866,1,0
T2-d,1.0,3.972,456,0.0,1000000,0.299135,146328,0.146328,-0.015361189794472003,-0.060837236013523935,0.045476046219051935,-0.011226830452049596,0.0031695968813089575,-0.01743924033941515,-0.0050144205646840394,0.004134359342422407,26.914317170342038,1,0,0.2988977910700005,-0.003355674822835039,1,0
T2-d,1.0,3.972,789,0.0,1000000,0.299617,146302,0.146302,-0.015347884729573706,-0.06083789885622507,0.04549001412665138,-0.013606030587477499,0.003159907258810097,-0.01979944881474529,-0.007412612360209709,0.0017418541420962073,11.349147930071716,1,0,0.30022091573761095,-0.00408481496252644,1,0
T2-d,1.0,3.972,2026,0.0,1000000,0.300005,146789,0.146789,-0.015340714024093727,-0.06080184334646854,0.04546112932237481,-0.015262991530222883,0.0031018735021351076,-0.021342663594407695,-0.009183319466038072,7.772249387084408e-05,0.5066419577913723,1,0,0.30411170011097055,-0.004641654303035425,1,0
T2-d,1.0,3.972,42,0.005,1000000,0.299842,146719,0.146719,-0.015385731628690981,-0.06088983967904454,0.04550410805035355,0.00019167268894237832,0.003202356467489727,-0.0060849459873374865,0.006468291365222243,0.015577404317633358,101.24578208932846,0,1,0.29733954172163435,5.6991869490680136e-05,0,0
T2-d,1.0,3.972,123,0.005,1000000,0.298566,146625,0.146625,-0.015395586617180901,-0.06091256196652379,0.04551697534934288,0.006622498050054259,0.0031441938706211654,0.00045987806363677417,0.012785118036471744,0.02201808466723516,143.015561632863,0,1,0.30157177612351155,0.0019971584993293545,1,0
T2-d,1.0,3.972,456,0.005,1000000,0.299135,146328,0.146328,-0.015361189794472003,-0.060837236013523935,0.045476046219051935,0.0055012958485850865,0.0031683078068415445,-0.0007085874528243406,0.011711179149994514,0.02086248564305709,135.81295408878307,0,1,0.2988977910700005,0.001644325177164646,0,0
T2-d,1.0,3.972,789,0.005,1000000,0.299617,146302,0.146302,-0.015347884729573706,-0.06083789885622507,0.04549001412665138,0.0030483720137383283,0.0031575556495973003,-0.00314043705947238,0.009237181086949037,0.018396256743312033,119.86183808029548,0,1,0.30022091573761095,0.0009151850374734261,0,0
T2-d,1.0,3.972,2026,0.005,1000000,0.300005,146789,0.146789,-0.015340714024093727,-0.06080184334646854,0.04546112932237481,0.0011783357787083454,0.0030988173028702573,-0.0048953461349173595,0.00725201769233405,0.016519049802802072,107.68110126332896,0,1,0.30411170011097055,0.0003583456969645793,0,0
T2-d,1.0,3.972,42,0.01,1000000,0.299842,146719,0.146719,-0.015385731628690981,-0.06088983967904454,0.04550410805035355,0.01700746506909377,0.0032062529725019255,0.010723209242989994,0.023291720895197543,0.032393196697784746,210.54050258733622,0,1,0.29733954172163435,0.005056991869491045,1,0
T2-d,1.0,3.972,123,0.01,1000000,0.298566,146625,0.146625,-0.015395586617180901,-0.06091256196652379,0.04551697534934288,0.023202298932855303,0.003150757312097686,0.017026814601143837,0.02937778326456677,0.0385978855500362,250.7074690285747,0,1,0.30157177612351155,0.006997158499329831,1,0
T2-d,1.0,3.972,456,0.01,1000000,0.299135,146328,0.146328,-0.015361189794472003,-0.060837236013523935,0.045476046219051935,0.022229422149218792,0.003174546362504435,0.0160073112787101,0.028451533019727485,0.037590611943690795,244.71159100721772,0,1,0.2988977910700005,0.00664432517716404,1,0
T2-d,1.0,3.972,789,0.01,1000000,0.299617,146302,0.146302,-0.015347884729573706,-0.06083789885622507,0.04549001412665138,0.019702774614956006,0.0031626210561642165,0.013504037344874141,0.02590151188503787,0.03505065934452971,228.3745282305313,0,1,0.30022091573761095,0.005915185037473847,1,0
T2-d,1.0,3.972,2026,0.01,1000000,0.300005,146789,0.146789,-0.015340714024093727,-0.06080184334646854,0.04546112932237481,0.01761966308763734,0.0031028955681313133,0.011537987774099964,0.023701338401174714,0.03296037711173107,214.85556056885198,0,1,0.30411170011097055,0.005358345696963904,1,0
T2-d,1.0,3.972,42,0.02,1000000,0.299842,146719,0.146719,-0.015385731628690981,-0.06088983967904454,0.04550410805035355,0.050639049829393656,0.0032367403529671443,0.044295038737578056,0.05698306092120926,0.06602478145808463,429.129943583333,0,1,0.29733954172163435,0.015056991869490916,1,0
T2-d,1.0,3.972,123,0.02,1000000,0.298566,146625,0.146625,-0.015395586617180901,-0.06091256196652379,0.04551697534934288,0.05636190069845528,0.003185547607246403,0.05011822738825233,0.06260557400865822,0.07175748731563618,466.0912838199844,0,1,0.30157177612351155,0.016997158499330145,1,0
T2-d,1.0,3.972,456,0.02,1000000,0.299135,146328,0.146328,-0.015361189794472003,-0.060837236013523935,0.045476046219051935,0.05568567475049099,0.00320937781275541,0.04939529423749039,0.0619760552634916,0.07104686454496299,462.50886484411814,0,1,0.2988977910700005,0.016644325177164257,1,0
T2-d,1.0,3.972,789,0.02,1000000,0.299617,146302,0.146302,-0.015347884729573706,-0.06083789885622507,0.04549001412665138,0.05301157981738794,0.003194810147688137,0.04674975192791919,0.059273407706856684,0.06835946454696165,445.3999085309808,0,1,0.30022091573761095,0.01591518503747366,1,0
T2-d,1.0,3.972,2026,0.02,1000000,0.300005,146789,0.146789,-0.015340714024093727,-0.06080184334646854,0.04546112932237481,0.05050231770549893,0.0031322952762427663,0.044363018964063104,0.05664161644693475,0.06584303172959266,429.2044791799215,0,1,0.30411170011097055,0.015358345696963649,1,0
T2-d,1.0,3.972,42,0.05,1000000,0.299842,146719,0.146719,-0.015385731628690981,-0.06088983967904454,0.04550410805035355,0.15153380411029416,0.0034982394327707942,0.1446772548220634,0.15839035339852492,0.16691953573898513,1084.8982665713288,0,1,0.29733954172163435,0.045056991869490776,1,0
