cell,rho,alpha_b,seed,use_physics,use_iv,use_ipsw,combo,n_C1,tau_hat,SE,CI_L,CI_U,tau_true,bias,ci_covers_true,D_L,D_U,kappa_ident_width
T2-b,1.0,0.3,123,False,False,True,piW,101098,0.04679727028570144,0.0009424735358987741,0.04495002215533984,0.048644518416063036,-0.058665,0.10546227028570143,False,,,
T2-b,1.0,0.3,456,False,False,True,piW,101687,0.046848794548587175,0.0009469641984578512,0.04499274471960979,0.04870484437756456,-0.058665,0.10551379454858717,False,,,
T2-b,1.0,0.3,789,False,False,True,piW,101442,0.04599354378465166,0.0009452427077349973,0.04414086807749107,0.04784621949181225,-0.058665,0.10465854378465167,False,,,
T2-b,1.0,0.3,2026,False,False,True,piW,101293,0.04524204077535167,0.0009457023089391784,0.04338846424983088,0.04709561730087246,-0.058665,0.10390704077535168,False,,,
T2-b,1.0,0.3,42,False,True,False,pIw,101310,-0.07138013614396461,0.003240664134366385,-0.07773183784732272,-0.0650284344406065,-0.058665,-0.012715136143964613,False,,,
T2-b,1.0,0.3,123,False,True,False,pIw,101098,-0.07101287369191678,0.0031943602726678395,-0.07727381982634575,-0.0647519275574878,-0.058665,-0.012347873691916776,False,,,
T2-b,1.0,0.3,456,False,True,False,pIw,101687,-0.0676888563902933,0.0031969340472531157,-0.07395484712290941,-0.0614228656576772,-0.058665,-0.009023856390293301,False,,,
T2-b,1.0,0.3,789,False,True,False,pIw,101442,-0.07063480579583334,0.00323402261849765,-0.07697349012808873,-0.06429612146357795,-0.058665,-0.011969805795833337,False,,,
T2-b,1.0,0.3,2026,False,True,False,pIw,101293,-0.07298712889857835,0.0032564267359920084,-0.07936972530112268,-0.06660453249603401,-0.058665,-0.014322128898578347,False,,,
T2-b,1.0,0.3,42,False,True,True,pIW,101310,-0.059740911125089946,0.0032255251260044624,-0.06606294037205869,-0.0534188818781212,-0.058665,-0.0010759111250899442,True,,,
T2-b,1.0,0.3,123,False,True,True,pIW,101098,-0.05902709512782133,0.003210421353812173,-0.06531952098129319,-0.05273466927434947,-0.058665,-0.0003620951278213297,True,,,
T2-b,1.0,0.3,456,False,True,True,pIW,101687,-0.05967965698153504,0.0032168551395692535,-0.06598469305509078,-0.0533746209079793,-0.058665,-0.0010146569815350365,True,,,
T2-b,1.0,0.3,789,False,True,True,pIW,101442,-0.058685977962253826,0.0032178198728621773,-0.0649929049130637,-0.05237905101144396,-0.058665,-2.0977962253823645e-05,True,,,
T2-b,1.0,0.3,2026,False,True,True,pIW,101293,-0.06164682887872567,0.003273911876142161,-0.0680636961559643,-0.055229961601487035,-0.058665,-0.0029818288787256675,True,,,
T2-b,1.0,0.3,42,True,False,False,Piw,101310,0.0376621099045214,0.000950075475903436,0.035799961971750664,0.03952425783729214,-0.058665,0.0963271099045214,False,0.01277,0.1521,2.701650540564165
T2-b,1.0,0.3,123,True,False,False,Piw,101098,0.03725627087901051,0.0009477380602615982,0.03539870428089778,0.03911383747712324,-0.058665,0.0959212708790105,False,0.01277,0.1521,2.672538118943785
T2-b,1.0,0.3,456,True,False,False,Piw,101687,0.03758121751537727,0.0009482857296113222,0.03572257748533908,0.03943985754541546,-0.058665,0.09624621751537726,False,0.01277,0.1521,2.695847812904647
T2-b,1.0,0.3,789,True,False,False,Piw,101442,0.036194546510502384,0.0009553058687236467,0.03432214700780404,0.03806694601320073,-0.058665,0.09485954651050238,False,0.01277,0.1521,2.59637647475067
T2-b,1.0,0.3,2026,True,False,False,Piw,101293,0.035477957012584715,0.000951883629744946,0.03361226509828462,0.03734364892688481,-0.058665,0.09414295701258471,False,0.01277,0.1521,2.544972705569394
T2-b,1.0,0.3,42,True,False,True,PiW,101310,0.04720860678640477,0.0009434634754085064,0.045359418374604096,0.04905779519820544,-0.058665,0.10587360678640477,False,0.01277,0.1521,3.3864581237510536
T2-b,1.0,0.3,123,True,False,True,PiW,101098,0.04679727028570144,0.0009424735358987741,0.04495002215533984,0.048644518416063036,-0.058665,0.10546227028570143,False,0.01277,0.1521,3.3569513467198093
